i:1 f:1
i:2 f:3
i:3 f:5
i:4 f:7
i:5 f:9
i:6 f:13
i:7 f:13
i:8 f:15
i:9 f:17
i:10 f:25
i:11 f:25
i:12 f:29
i:13 f:29
i:14 f:29
i:15 f:29
i:16 f:31
i:17 f:33
i:18 f:49
i:19 f:49
i:20 f:57
i:21 f:57
i:22 f:57
i:23 f:57
i:24 f:61
i:25 f:61
i:26 f:61
i:27 f:61
i:28 f:61
i:29 f:61
i:30 f:61
i:31 f:61
i:32 f:63
i:33 f:65
i:34 f:97
i:35 f:97
i:36 f:113
i:37 f:113
i:38 f:113
i:39 f:113
i:40 f:121
i:41 f:121
i:42 f:121
i:43 f:121
i:44 f:121
i:45 f:121
i:46 f:121
i:47 f:121
i:48 f:125
i:49 f:125
i:50 f:125
i:51 f:125
i:52 f:125
i:53 f:125
i:54 f:125
i:55 f:125
i:56 f:125
i:57 f:125
i:58 f:125
i:59 f:125
i:60 f:125
i:61 f:125
i:62 f:125
i:63 f:125
i:64 f:127
i:65 f:129
i:66 f:193
i:67 f:193
i:68 f:225
i:69 f:225
i:70 f:225
i:71 f:225
i:72 f:241
i:73 f:241
i:74 f:241
i:75 f:241
i:76 f:241
i:77 f:241
i:78 f:241
i:79 f:241
i:80 f:249
i:81 f:249
i:82 f:249
i:83 f:249
i:84 f:249
i:85 f:249
i:86 f:249
i:87 f:249
i:88 f:249
i:89 f:249
i:90 f:249
i:91 f:249
i:92 f:249
i:93 f:249
i:94 f:249
i:95 f:249
i:96 f:253
i:97 f:253
i:98 f:253
i:99 f:253
i:100 f:253
i:101 f:253
i:102 f:253
i:103 f:253
i:104 f:253
i:105 f:253
i:106 f:253
i:107 f:253
i:108 f:253
i:109 f:253
i:110 f:253
i:111 f:253
i:112 f:253
i:113 f:253
i:114 f:253
i:115 f:253
i:116 f:253
i:117 f:253
i:118 f:253
i:119 f:253
i:120 f:253
i:121 f:253
i:122 f:253
i:123 f:253
i:124 f:253
i:125 f:253
i:126 f:253
i:127 f:253
i:128 f:255
i:129 f:257
i:130 f:385
i:131 f:385
i:132 f:449
i:133 f:449
i:134 f:449
i:135 f:449
i:136 f:481
i:137 f:481
i:138 f:481
i:139 f:481
i:140 f:481
i:141 f:481
i:142 f:481
i:143 f:481
i:144 f:497
i:145 f:497
i:146 f:497
i:147 f:497
i:148 f:497
i:149 f:497
i:150 f:497
i:151 f:497
i:152 f:497
i:153 f:497
i:154 f:497
i:155 f:497
i:156 f:497
i:157 f:497
i:158 f:497
i:159 f:497
i:160 f:505
i:161 f:505
i:162 f:505
i:163 f:505
i:164 f:505
i:165 f:505
i:166 f:505
